participant	sent1	sent2	score
participant14	user accept responsibility and woman does too	user bear responsibility and woman does too	6
participant14	poll show support and majority does too	poll picture support and majority does too	7
participant14	man say success and council does too	man state success and council does too	5
participant14	firm buy politician and government does too	firm bribe politician and government does too	5
participant14	family provide home and group does too	family supply home and group does too	7
participant14	survey say recovery and document does too	survey allege recovery and document does too	5
participant14	justice try king and group does too	justice judge king and group does too	6
participant14	user run application and people does too	user move application and people does too	6
participant14	government accept proposal and document does too	government bear proposal and document does too	5
participant14	employee buy property and investor does too	employee purchase property and investor does too	7
participant14	speaker say word and author does too	speaker state word and author does too	7
participant14	weapon buy chance and player does too	weapon bribe chance and player does too	5
participant14	user write word and player does too	user publish word and player does too	7
participant14	user write software and team does too	user publish software and team does too	6
participant14	system meet requirement and solution does too	system satisfy requirement and solution does too	5
participant14	member accept share and staff does too	member receive share and staff does too	6
participant14	runway run parallel and line does too	runway operate parallel and line does too	6
participant14	proposal draw criticism and school does too	proposal depict criticism and school does too	6
participant14	cinema show film and office does too	cinema picture film and office does too	7
participant14	employer provide training and firm does too	employer leave training and firm does too	5
participant14	representative meet official and officer does too	representative satisfy official and officer does too	5
participant14	justice try king and group does too	justice test king and group does too	5
participant14	man write song and people does too	man publish song and people does too	5
participant14	cinema show film and poster does too	cinema picture film and poster does too	7
participant14	sweat run face and tear does too	sweat operate face and tear does too	6
participant14	map show area and book does too	map picture area and book does too	7
participant14	management accept responsibility and company does too	management receive responsibility and company does too	6
participant14	student meet requirement and registration does too	student satisfy requirement and registration does too	6
participant14	people buy product and consumer does too	people bribe product and consumer does too	6
participant14	tribunal try crime and government does too	tribunal judge crime and government does too	5
participant14	system run application and site does too	system operate application and site does too	6
participant14	family run hotel and business does too	family operate hotel and business does too	5
participant14	table show result and cell does too	table express result and cell does too	5
participant14	sweat run face and tear does too	sweat move face and tear does too	7
participant14	child draw picture and author does too	child attract picture and author does too	5
participant14	specialist write Papers and journal does too	specialist spell Papers and journal does too	6
participant14	woman draw hair and illustration does too	woman attract hair and illustration does too	5
participant14	road run parallel and force does too	road move parallel and force does too	7
participant14	mother provide baby and family does too	mother leave baby and family does too	6
participant14	system provide facility and office does too	system leave facility and office does too	5
participant14	river meet sea and ship does too	river visit sea and ship does too	5
participant14	supporter buy ticket and fan does too	supporter bribe ticket and fan does too	6
participant14	society accept charge and church does too	society receive charge and church does too	5
participant14	company provide service and manufacturer does too	company leave service and manufacturer does too	5
participant14	government provide cash and council does too	government leave cash and council does too	4
participant14	figure show increase and committee does too	figure express increase and committee does too	6
participant14	weapon buy chance and group does too	weapon bribe chance and group does too	5
participant14	system provide facility and business does too	system leave facility and business does too	5
participant14	woman draw hair and illustration does too	woman depict hair and illustration does too	5
participant14	male draw female and city does too	male attract female and city does too	4
participant14	judge try action and teacher does too	judge test action and teacher does too	5
participant14	writer write book and press does too	writer publish book and press does too	6
participant14	shiver run spine and music does too	shiver move spine and music does too	7
participant14	child meet house and woman does too	child satisfy house and woman does too	6
participant14	teacher write book and student does too	teacher spell book and student does too	5
participant14	study provide evidence and site does too	study supply evidence and site does too	6
participant14	table show result and cell does too	table picture result and cell does too	7
participant14	investor buy share and client does too	investor bribe share and client does too	6
participant14	people write letter and society does too	people publish letter and society does too	6
participant14	system meet criterion and design does too	system satisfy criterion and design does too	5
participant14	teacher write book and author does too	teacher publish book and author does too	6
participant16	court try case and inspector does too	court test case and inspector does too	7
participant16	people say prayer and leader does too	people state prayer and leader does too	7
participant16	spokesman say decision and official does too	spokesman state decision and official does too	7
participant16	speaker say word and author does too	speaker allege word and author does too	6
participant16	company provide service and manufacturer does too	company leave service and manufacturer does too	1
participant16	user run application and site does too	user operate application and site does too	7
participant16	magazine accept liability and document does too	magazine bear liability and document does too	6
participant16	court try case and expert does too	court test case and expert does too	7
participant16	student meet requirement and applicant does too	student satisfy requirement and applicant does too	6
participant16	runway run parallel and line does too	runway operate parallel and line does too	7
participant16	government provide cash and council does too	government supply cash and council does too	7
participant16	people run round and team does too	people move round and team does too	7
participant16	school provide education and industry does too	school leave education and industry does too	1
participant16	firm buy politician and government does too	firm purchase politician and government does too	7
participant16	system meet requirement and object does too	system satisfy requirement and object does too	7
participant16	sweat run face and tear does too	sweat operate face and tear does too	6
participant16	child show sign and man does too	child express sign and man does too	7
participant16	model buy behaviour and consumer does too	model purchase behaviour and consumer does too	7
participant16	government provide cash and company does too	government supply cash and company does too	7
participant16	boy meet girl and family does too	boy visit girl and family does too	6
participant16	justice try king and group does too	justice judge king and group does too	7
participant16	supporter buy ticket and fan does too	supporter purchase ticket and fan does too	7
participant16	school provide education and association does too	school leave education and association does too	1
participant16	investor buy share and client does too	investor purchase share and client does too	7
participant16	priest say mass and leader does too	priest state mass and leader does too	7
participant16	speaker say word and chairman does too	speaker state word and chairman does too	7
participant16	child show interest and parent does too	child express interest and parent does too	7
participant16	supporter buy ticket and group does too	supporter purchase ticket and group does too	7
participant16	people try Sniffing and student does too	people test Sniffing and student does too	6
participant16	company provide service and business does too	company supply service and business does too	7
participant16	poll show support and majority does too	poll express support and majority does too	6
participant16	man try experiment and study does too	man test experiment and study does too	7
participant16	family run hotel and company does too	family move hotel and company does too	1
participant16	politician buy election and government does too	politician bribe election and government does too	5
participant16	specialist write Papers and journal does too	specialist publish Papers and journal does too	4
participant16	proposal draw criticism and school does too	proposal attract criticism and school does too	7
participant16	people say prayer and judge does too	people state prayer and judge does too	7
participant16	management accept responsibility and company does too	management bear responsibility and company does too	7
participant16	priest say mass and authority does too	priest state mass and authority does too	7
participant16	family provide home and company does too	family supply home and company does too	7
participant16	people buy house and family does too	people purchase house and family does too	7
participant16	judge try action and teacher does too	judge judge action and teacher does too	5
participant16	people buy security and corporation does too	people purchase security and corporation does too	7
participant16	beach meet standard and field does too	beach satisfy standard and field does too	7
participant16	management accept responsibility and people does too	management bear responsibility and people does too	7
participant16	parent draw line and artist does too	parent depict line and artist does too	6
participant16	people buy security and user does too	people purchase security and user does too	7
participant16	demonstrator try building and company does too	demonstrator test building and company does too	6
participant16	river meet sea and ship does too	river visit sea and ship does too	6
participant16	company provide service and manufacturer does too	company supply service and manufacturer does too	7
participant17	map show area and photograph does too	map express area and photograph does too	4
participant17	man provide money and council does too	man leave money and council does too	5
participant17	table show result and number does too	table picture result and number does too	7
participant17	patient draw figure and scene does too	patient attract figure and scene does too	4
participant17	study provide information and source does too	study supply information and source does too	6
participant17	patient draw figure and scene does too	patient depict figure and scene does too	6
participant17	man write song and people does too	man publish song and people does too	5
participant17	figure show increase and committee does too	figure picture increase and committee does too	6
participant17	people try Sniffing and student does too	people judge Sniffing and student does too	4
participant17	society accept charge and people does too	society receive charge and people does too	5
participant17	child meet house and man does too	child satisfy house and man does too	4
participant17	government accept recommendation and council does too	government bear recommendation and council does too	5
participant17	specialist write Papers and company does too	specialist publish Papers and company does too	6
participant17	people try door and team does too	people test door and team does too	4
participant17	child show sign and patient does too	child express sign and patient does too	5
participant17	speaker say word and author does too	speaker state word and author does too	5
participant17	weapon buy chance and player does too	weapon bribe chance and player does too	3
participant17	table show result and number does too	table express result and number does too	5
participant17	machine run program and airline does too	machine move program and airline does too	4
participant17	user write software and team does too	user publish software and team does too	3
participant17	people say success and company does too	people state success and company does too	6
participant17	child show sign and patient does too	child picture sign and patient does too	5
participant17	people buy product and consumer does too	people purchase product and consumer does too	6
participant19	court try case and inspector does too	court test case and inspector does too	6
participant19	patient accept treatment and family does too	patient bear treatment and family does too	6
participant19	shareholder accept offer and client does too	shareholder bear offer and client does too	5
participant19	child write word and father does too	child spell word and father does too	6
participant19	road run parallel and line does too	road operate parallel and line does too	3
participant19	member accept share and staff does too	member bear share and staff does too	6
participant19	people say success and company does too	people allege success and company does too	5
participant19	system provide facility and office does too	system supply facility and office does too	6
participant19	tribunal try crime and judge does too	tribunal test crime and judge does too	4
participant19	people buy house and family does too	people bribe house and family does too	2
participant19	tribunal try crime and judge does too	tribunal judge crime and judge does too	7
participant19	people try door and company does too	people judge door and company does too	2
participant19	patient draw figure and scene does too	patient depict figure and scene does too	7
participant19	people write letter and university does too	people publish letter and university does too	5
participant19	people run round and team does too	people move round and team does too	4
participant19	school provide education and industry does too	school leave education and industry does too	1
participant19	people try Sniffing and student does too	people judge Sniffing and student does too	2
participant19	lawyer accept conviction and man does too	lawyer receive conviction and man does too	6
participant19	scholar write book and group does too	scholar spell book and group does too	2
participant19	child draw picture and painting does too	child depict picture and painting does too	4
participant19	student write name and pupil does too	student spell name and pupil does too	6
participant19	man try experiment and study does too	man judge experiment and study does too	6
participant19	child write word and family does too	child publish word and family does too	5
participant19	male draw female and city does too	male depict female and city does too	7
participant19	parent draw line and man does too	parent depict line and man does too	4
participant19	justice try king and people does too	justice judge king and people does too	7
participant19	cinema show film and office does too	cinema express film and office does too	2
participant19	firm buy politician and council does too	firm purchase politician and council does too	7
participant19	spokesman say decision and official does too	spokesman allege decision and official does too	5
participant19	system meet criterion and product does too	system visit criterion and product does too	2
participant19	investor buy share and employee does too	investor bribe share and employee does too	1
participant19	study provide information and website does too	study leave information and website does too	5
participant19	man try experiment and researcher does too	man test experiment and researcher does too	6
participant19	politician buy election and government does too	politician purchase election and government does too	7
participant19	people buy house and buyer does too	people purchase house and buyer does too	7
participant19	child meet house and man does too	child visit house and man does too	5
participant19	mother provide baby and family does too	mother leave baby and family does too	4
participant19	society accept charge and people does too	society bear charge and people does too	6
participant19	report draw attention and event does too	report attract attention and event does too	7
participant19	man say sentence and author does too	man state sentence and author does too	7
participant19	people buy house and buyer does too	people bribe house and buyer does too	2
participant19	mother provide baby and father does too	mother leave baby and father does too	2
participant19	system run application and site does too	system move application and site does too	2
participant19	government provide cash and council does too	government leave cash and council does too	4
participant19	speaker say word and chairman does too	speaker state word and chairman does too	6
participant19	people buy product and consumer does too	people purchase product and consumer does too	7
participant19	magazine accept liability and cover does too	magazine receive liability and cover does too	6
participant19	user write software and company does too	user spell software and company does too	2
participant19	priest say prayer and group does too	priest state prayer and group does too	7
participant19	shareholder accept offer and employee does too	shareholder bear offer and employee does too	4
participant19	study provide information and source does too	study leave information and source does too	5
participant19	representative meet official and staff does too	representative satisfy official and staff does too	3
participant19	system meet requirement and solution does too	system visit requirement and solution does too	3
participant19	runway run parallel and railroad does too	runway move parallel and railroad does too	7
participant19	river meet sea and tourist does too	river visit sea and tourist does too	2
participant19	study show correlation and report does too	study picture correlation and report does too	7
participant19	child show interest and student does too	child picture interest and student does too	4
participant19	magazine accept liability and document does too	magazine bear liability and document does too	7
participant19	man say sentence and author does too	man allege sentence and author does too	2
participant19	shiver run spine and hand does too	shiver operate spine and hand does too	2
participant19	system run application and service does too	system move application and service does too	3
participant19	runway run parallel and line does too	runway move parallel and line does too	3
participant19	report draw attention and programme does too	report depict attention and programme does too	1
participant19	figure show increase and committee does too	figure picture increase and committee does too	7
participant19	people try door and team does too	people judge door and team does too	2
participant19	poll show support and majority does too	poll picture support and majority does too	6
participant19	man provide money and council does too	man supply money and council does too	7
participant19	representative meet official and officer does too	representative visit official and officer does too	7
participant19	priest say mass and leader does too	priest allege mass and leader does too	2
participant19	model buy behaviour and user does too	model bribe behaviour and user does too	2
participant19	man write song and people does too	man spell song and people does too	2
participant19	magazine accept liability and cover does too	magazine bear liability and cover does too	7
participant19	family provide home and group does too	family supply home and group does too	6
participant19	survey say recovery and document does too	survey allege recovery and document does too	5
participant19	survey say recovery and document does too	survey state recovery and document does too	7
participant19	politician buy election and leader does too	politician purchase election and leader does too	6
participant19	government provide cash and company does too	government leave cash and company does too	4
participant19	specialist write Papers and company does too	specialist publish Papers and company does too	5
participant19	government accept recommendation and council does too	government receive recommendation and council does too	4
participant19	male draw female and artist does too	male attract female and artist does too	3
participant19	table draw eye and site does too	table attract eye and site does too	7
participant19	shiver run spine and music does too	shiver operate spine and music does too	2
participant19	man provide money and provider does too	man leave money and provider does too	6
participant19	judge try action and teacher does too	judge test action and teacher does too	7
participant19	poll show support and majority does too	poll express support and majority does too	6
participant19	figure show increase and report does too	figure express increase and report does too	7
participant19	politician buy election and leader does too	politician bribe election and leader does too	5
participant19	road run parallel and force does too	road operate parallel and force does too	4
participant19	family provide home and group does too	family leave home and group does too	4
participant19	user accept responsibility and woman does too	user receive responsibility and woman does too	6
participant19	government accept proposal and document does too	government receive proposal and document does too	5
participant19	poll show support and group does too	poll express support and group does too	6
participant19	user write word and player does too	user publish word and player does too	6
participant19	system meet requirement and solution does too	system satisfy requirement and solution does too	7
participant19	judge try action and committee does too	judge test action and committee does too	6
participant19	producer say favour and author does too	producer allege favour and author does too	5
participant19	people run company and group does too	people move company and group does too	2
participant19	user run application and people does too	user operate application and people does too	7
participant19	machine run program and company does too	machine operate program and company does too	7
participant19	sweat run face and hand does too	sweat move face and hand does too	3
participant19	spokesman say decision and government does too	spokesman allege decision and government does too	5
participant19	people run company and group does too	people operate company and group does too	7
participant19	child meet house and woman does too	child satisfy house and woman does too	5
participant19	proposal draw criticism and school does too	proposal depict criticism and school does too	1
participant19	employer provide training and firm does too	employer supply training and firm does too	7
participant19	child write word and father does too	child publish word and father does too	5
participant19	man provide money and council does too	man leave money and council does too	5
participant19	man say success and council does too	man allege success and council does too	4
participant19	man say success and group does too	man allege success and group does too	3
participant19	river meet sea and tourist does too	river satisfy sea and tourist does too	2
participant19	study provide information and source does too	study supply information and source does too	7
participant19	representative meet official and staff does too	representative visit official and staff does too	6
participant19	man provide money and provider does too	man supply money and provider does too	7
participant19	company provide service and business does too	company leave service and business does too	1
participant19	table draw eye and festival does too	table attract eye and festival does too	7
participant19	court try offence and authority does too	court judge offence and authority does too	7
participant19	system meet requirement and object does too	system satisfy requirement and object does too	7
participant19	spokesman say decision and government does too	spokesman state decision and government does too	7
participant19	cinema show film and poster does too	cinema picture film and poster does too	4
participant19	sweat run face and tear does too	sweat operate face and tear does too	1
participant19	figure show increase and report does too	figure picture increase and report does too	7
participant19	writer write book and association does too	writer spell book and association does too	4
participant19	people buy security and user does too	people bribe security and user does too	3
participant19	sight meet eye and doctor does too	sight satisfy eye and doctor does too	4
participant19	proposal draw criticism and conference does too	proposal attract criticism and conference does too	7
participant19	map show area and book does too	map picture area and book does too	7
participant19	artist show work and gallery does too	artist picture work and gallery does too	3
participant19	management accept responsibility and people does too	management receive responsibility and people does too	6
participant19	boy meet girl and family does too	boy satisfy girl and family does too	2
participant19	student meet requirement and applicant does too	student visit requirement and applicant does too	2
participant19	table show result and cell does too	table picture result and cell does too	7
participant19	family run hotel and business does too	family move hotel and business does too	2
participant19	poll show support and group does too	poll picture support and group does too	7
participant19	firm buy politician and council does too	firm bribe politician and council does too	7
participant19	court try offence and authority does too	court test offence and authority does too	4
participant19	family run hotel and business does too	family operate hotel and business does too	7
participant19	study provide evidence and information does too	study leave evidence and information does too	6
participant19	table show result and cell does too	table express result and cell does too	7
participant19	people run company and board does too	people operate company and board does too	7
participant19	child draw picture and author does too	child attract picture and author does too	1
participant19	people say prayer and judge does too	people state prayer and judge does too	7
participant19	table draw eye and site does too	table depict eye and site does too	3
participant19	people say success and company does too	people state success and company does too	7
participant19	woman draw hair and illustration does too	woman attract hair and illustration does too	1
participant19	road run parallel and force does too	road move parallel and force does too	3
participant19	boy meet girl and friend does too	boy visit girl and friend does too	5
participant19	magazine accept liability and document does too	magazine receive liability and document does too	6
participant19	school provide education and association does too	school supply education and association does too	7
participant19	system provide facility and office does too	system leave facility and office does too	1
participant19	system run application and service does too	system operate application and service does too	7
participant19	study provide evidence and information does too	study supply evidence and information does too	7
participant19	weapon buy chance and group does too	weapon purchase chance and group does too	5
participant19	beach meet standard and field does too	beach visit standard and field does too	2
participant19	user write software and team does too	user spell software and team does too	3
participant19	student write name and protester does too	student spell name and protester does too	6
participant19	man draw sword and artist does too	man depict sword and artist does too	5
participant19	people try program and scientist does too	people test program and scientist does too	7
participant19	shareholder accept offer and client does too	shareholder receive offer and client does too	6
participant19	demonstrator try building and company does too	demonstrator test building and company does too	5
participant19	user run application and site does too	user operate application and site does too	7
participant19	sight meet eye and pupil does too	sight satisfy eye and pupil does too	5
participant19	lawyer accept conviction and document does too	lawyer receive conviction and document does too	7
participant19	weapon buy chance and group does too	weapon bribe chance and group does too	1
participant19	student meet requirement and registration does too	student visit requirement and registration does too	1
participant19	woman draw hair and illustration does too	woman depict hair and illustration does too	7
participant19	people say success and commission does too	people allege success and commission does too	5
participant19	judge try action and teacher does too	judge judge action and teacher does too	6
participant19	people write letter and society does too	people spell letter and society does too	4
participant19	government accept proposal and committee does too	government receive proposal and committee does too	4
participant19	child show sign and man does too	child express sign and man does too	6
participant19	people write letter and university does too	people spell letter and university does too	4
participant19	woman draw hair and figure does too	woman attract hair and figure does too	3
participant19	patient draw figure and photograph does too	patient depict figure and photograph does too	7
participant19	table draw eye and festival does too	table depict eye and festival does too	1
participant19	teacher write book and student does too	teacher publish book and student does too	7
participant19	government accept recommendation and council does too	government bear recommendation and council does too	5
participant19	user write word and character does too	user spell word and character does too	6
participant19	people try door and team does too	people test door and team does too	6
participant19	child show interest and student does too	child express interest and student does too	7
participant19	study show correlation and report does too	study express correlation and report does too	6
participant19	demonstrator try building and university does too	demonstrator test building and university does too	5
participant19	people try program and program does too	people test program and program does too	7
participant19	mother provide baby and father does too	mother supply baby and father does too	6
participant19	system meet criterion and product does too	system satisfy criterion and product does too	7
participant19	man say success and council does too	man state success and council does too	7
participant19	supporter buy ticket and group does too	supporter purchase ticket and group does too	7
participant19	man try experiment and researcher does too	man judge experiment and researcher does too	4
participant19	teacher write book and student does too	teacher spell book and student does too	3
participant19	child show interest and parent does too	child express interest and parent does too	7
participant19	report draw attention and event does too	report depict attention and event does too	2
participant19	priest say prayer and man does too	priest allege prayer and man does too	1
participant19	system provide facility and business does too	system supply facility and business does too	7
participant19	people buy product and customer does too	people purchase product and customer does too	7
participant19	family run hotel and company does too	family operate hotel and company does too	7
participant19	man draw sword and statue does too	man depict sword and statue does too	2
participant19	people say success and commission does too	people state success and commission does too	7
participant19	member accept share and employee does too	member receive share and employee does too	6
participant19	man write song and woman does too	man spell song and woman does too	2
participant19	claimant draw benefit and competition does too	claimant attract benefit and competition does too	5
participant19	child show sign and patient does too	child picture sign and patient does too	3
participant19	map show location and image does too	map picture location and image does too	6
participant19	demonstrator try building and company does too	demonstrator judge building and company does too	3
participant19	system meet criterion and design does too	system satisfy criterion and design does too	7
participant19	teacher write book and author does too	teacher publish book and author does too	5
participant23	survey say recovery and report does too	survey state recovery and report does too	6
participant23	spokesman say decision and official does too	spokesman state decision and official does too	6
participant23	patient accept treatment and player does too	patient bear treatment and player does too	5
participant23	lawyer accept conviction and document does too	lawyer bear conviction and document does too	4
participant23	people write letter and university does too	people publish letter and university does too	5
participant23	justice try king and group does too	justice judge king and group does too	6
participant23	employee buy property and company does too	employee bribe property and company does too	4
participant23	society accept charge and people does too	society receive charge and people does too	5
participant23	lawyer accept conviction and man does too	lawyer receive conviction and man does too	5
participant23	member accept share and staff does too	member bear share and staff does too	5
participant23	scholar write book and commission does too	scholar publish book and commission does too	5
participant23	male draw female and city does too	male depict female and city does too	6
participant23	machine run program and airline does too	machine operate program and airline does too	6
participant23	male draw female and artist does too	male depict female and artist does too	6
participant23	table show result and number does too	table express result and number does too	6
participant23	study provide information and website does too	study leave information and website does too	4
participant23	model buy behaviour and user does too	model purchase behaviour and user does too	6
participant23	people buy house and buyer does too	people purchase house and buyer does too	6
participant23	report draw attention and event does too	report attract attention and event does too	6
participant23	man say sentence and author does too	man state sentence and author does too	6
participant23	people buy house and buyer does too	people bribe house and buyer does too	4
participant23	beach meet standard and space does too	beach visit standard and space does too	4
participant23	people try Sniffing and user does too	people test Sniffing and user does too	5
participant23	employer provide training and industry does too	employer supply training and industry does too	6
participant23	study provide information and source does too	study leave information and source does too	3
participant23	map show area and photograph does too	map express area and photograph does too	5
participant23	runway run parallel and railroad does too	runway move parallel and railroad does too	4
participant23	shareholder accept offer and employee does too	shareholder receive offer and employee does too	6
participant23	man say sentence and law does too	man state sentence and law does too	6
participant23	people try door and team does too	people judge door and team does too	4
participant23	poll show support and majority does too	poll picture support and majority does too	6
participant23	man draw sword and artist does too	man attract sword and artist does too	3
participant23	representative meet official and officer does too	representative visit official and officer does too	6
participant23	firm buy politician and government does too	firm bribe politician and government does too	6
participant23	family provide home and group does too	family supply home and group does too	6
participant23	runway run parallel and railroad does too	runway operate parallel and railroad does too	6
participant23	government provide cash and company does too	government leave cash and company does too	5
participant23	table draw eye and site does too	table attract eye and site does too	6
participant23	shiver run spine and music does too	shiver operate spine and music does too	3
participant23	priest say mass and leader does too	priest state mass and leader does too	6
participant23	child write word and family does too	child spell word and family does too	6
participant23	woman draw hair and figure does too	woman depict hair and figure does too	6
participant23	user accept responsibility and woman does too	user receive responsibility and woman does too	4
participant23	user write word and player does too	user publish word and player does too	5
participant23	user write software and team does too	user publish software and team does too	5
participant23	demonstrator try building and university does too	demonstrator test building and university does too	5
participant23	people run company and group does too	people operate company and group does too	6
participant23	proposal draw criticism and school does too	proposal depict criticism and school does too	3
participant23	user write software and team does too	user spell software and team does too	5
participant23	service meet need and work does too	service visit need and work does too	3
participant23	map show area and photograph does too	map picture area and photograph does too	6
participant23	representative meet official and staff does too	representative visit official and staff does too	6
participant23	user accept responsibility and player does too	user bear responsibility and player does too	5
participant23	service meet need and product does too	service satisfy need and product does too	7
participant23	people buy security and corporation does too	people bribe security and corporation does too	6
participant23	cinema show film and poster does too	cinema picture film and poster does too	6
participant23	writer write book and association does too	writer spell book and association does too	5
participant23	sight meet eye and doctor does too	sight satisfy eye and doctor does too	3
participant23	management accept responsibility and people does too	management receive responsibility and people does too	5
participant23	lawyer accept conviction and man does too	lawyer bear conviction and man does too	5
participant23	student meet requirement and applicant does too	student visit requirement and applicant does too	4
participant23	child show sign and patient does too	child express sign and patient does too	5
participant23	man try experiment and study does too	man judge experiment and study does too	4
participant23	poll show support and group does too	poll picture support and group does too	6
participant23	firm buy politician and council does too	firm bribe politician and council does too	6
participant23	people say success and company does too	people allege success and company does too	5
participant23	family run hotel and business does too	family operate hotel and business does too	6
participant23	government provide cash and council does too	government leave cash and council does too	3
participant23	service meet need and product does too	service visit need and product does too	4
participant23	specialist write Papers and journal does too	specialist spell Papers and journal does too	5
participant23	justice try king and people does too	justice test king and people does too	6
participant23	system provide facility and office does too	system leave facility and office does too	3
participant23	study provide evidence and information does too	study supply evidence and information does too	6
participant23	tribunal try crime and government does too	tribunal test crime and government does too	3
participant23	supporter buy ticket and fan does too	supporter bribe ticket and fan does too	4
participant23	people run company and board does too	people move company and board does too	4
participant23	member accept share and staff does too	member receive share and staff does too	5
participant23	student meet requirement and registration does too	student visit requirement and registration does too	5
participant23	woman draw hair and illustration does too	woman depict hair and illustration does too	6
participant23	study show correlation and number does too	study express correlation and number does too	6
participant23	employee buy property and investor does too	employee bribe property and investor does too	5
participant23	beach meet standard and field does too	beach satisfy standard and field does too	6
participant23	judge try action and teacher does too	judge test action and teacher does too	6
participant23	table draw eye and festival does too	table depict eye and festival does too	3
participant23	claimant draw benefit and competition does too	claimant depict benefit and competition does too	3
participant23	student write name and protester does too	student publish name and protester does too	5
participant23	child show interest and parent does too	child express interest and parent does too	6
participant23	user run application and people does too	user operate application and people does too	6
participant23	priest say prayer and man does too	priest allege prayer and man does too	3
participant23	study provide evidence and site does too	study leave evidence and site does too	5
participant23	investor buy share and client does too	investor bribe share and client does too	5
participant23	member accept share and employee does too	member receive share and employee does too	5
participant23	management accept responsibility and people does too	management bear responsibility and people does too	5
participant23	child show sign and patient does too	child picture sign and patient does too	6
participant23	people write letter and society does too	people publish letter and society does too	5
participant23	proposal draw criticism and conference does too	proposal depict criticism and conference does too	4
participant23	company provide service and manufacturer does too	company supply service and manufacturer does too	6
participant23	court try case and inspector does too	court test case and inspector does too	5
participant23	priest say mass and authority does too	priest allege mass and authority does too	4
participant23	shareholder accept offer and client does too	shareholder bear offer and client does too	4
participant23	child write word and father does too	child spell word and father does too	5
participant23	tribunal try crime and judge does too	tribunal test crime and judge does too	5
participant23	man say success and group does too	man state success and group does too	6
participant23	government accept recommendation and commission does too	government bear recommendation and commission does too	4
participant23	teacher write book and author does too	teacher spell book and author does too	5
participant23	sweat run face and hand does too	sweat move face and hand does too	5
participant23	parent draw line and man does too	parent attract line and man does too	4
participant23	student write name and pupil does too	student spell name and pupil does too	6
participant23	court try case and inspector does too	court judge case and inspector does too	6
participant23	child meet house and woman does too	child visit house and woman does too	5
participant23	school provide education and association does too	school supply education and association does too	6
participant23	management accept responsibility and company does too	management bear responsibility and company does too	6
participant23	people try Sniffing and student does too	people test Sniffing and student does too	5
participant23	child show sign and man does too	child picture sign and man does too	4
participant23	writer write book and press does too	writer spell book and press does too	5
participant23	model buy behaviour and consumer does too	model bribe behaviour and consumer does too	5
participant23	people try program and scientist does too	people judge program and scientist does too	5
